venue,year,paper_type,title,authors,arxiv_ids,speaker,scheduled_date,scheduled_time,duration_minutes,session_name
QIP,2026,regular,Quantum advantage from soft decoders,Andre Chailloux;Jean-Pierre Tillich,2411.12553,Andre Chailloux,27 January,13:00,20,
QIP,2026,regular,Infinite temperature at zero energy,Matteo Ippoliti;David M. Long,2509.04410,David M. Long,30 January,14:00,20,
QIP,2026,regular,Derandomised tensor product gap amplification for quantum Hamiltonians,Thiago Bergamaschi;Tony Metger;Thomas Vidick;Tina Zhang,,Tony Metger,30 January,16:00,20,
QIP,2026,regular,Quantized Markov chain couplings that prepare Qsamples,Kristan Temme;Pawel Wocjan,2504.02651,Kristan Temme,26 January,16:30,20,
QIP,2026,regular,A distillation-teleportation protocol for fault-tolerant QRAM,Alexander M. Dalzell;András Gilyén;Connor T. Hann;Sam McArdle;Grant Salton;Quynh T. Nguyen;Aleksander Kubica;Fernando G.S.L. Brandao,2505.20265,Alexander M. Dalzell,29 January,14:00,20,
QIP,2026,regular,Partial trace relations beyond normal matrices,Pablo Costa Rico;Michael M. Wolf,2507.18278,Pablo Costa Rico,26 January,13:30,20,
QIP,2026,regular,Quantum Gibbs states are locally Markov,Chi-Fang (Anthony) Chen;Cambyse Rouzé,2504.02208,Chi-Fang (Anthony) Chen,27 January,14:00,20,
QIP,2026,regular,Improving quantum communication rates with permutation-invariant codes,Sujeet Bhalerao;Felix Leditzky,2508.09978,Felix Leditzky,30 January,10:00,20,
QIP,2026,regular,A convergent sum-of-squares hierarchy for compiled nonlocal games,David Cui;Chirag Falor;Anand Natarajan;Tina Zhang,2507.17581,David Cui,27 January,13:30,20,Merged slot
QIP,2026,regular,Evidence that the Quantum Approximate Optimization Algorithm Optimizes the Sherrington-Kirkpatrick Model Efficiently in the Average Case,Sami Boulebnane;Abid A. Khan;Minzhao Liu;Jeffrey Larson;Dylan Herman;Ruslan Shaydulin;Marco Pistoia,,Sami Boulebnane,27 January,13:30,20,
QIP,2026,regular,Efficiently learning depth-3 circuits via quantum agnostic boosting,Srinivasan Arunachalam;Arkopal Dutt;Alexandru Gheorghiu;Michael de Oliveira,,Arkopal Dutt,26 January,15:30,20,
QIP,2026,regular,Exponential improvements to the average-case hardness of BosonSampling,Ishaun Datta;Adam Bouland;Bill Fefferman;Felipe Hernandez,2411.04566,Ishaun Datta,30 January,11:00,20,
QIP,2026,regular,Composable logical gate error in approximate quantum error correction,Lukas Brenner;Beatriz Dias;Robert König,,Lukas Brenner,30 January,09:00,20,
QIP,2026,regular,"Quantum oracles, weak and strong",Ewin Tang;John Wright;Mark Zhandry,"2507.23787,2508.00055",Ewin Tang,30 January,09:00,20,
QIP,2026,regular,The Compressed Oracle is a Worthy (Multiplicative) Adversary,Stacey Jeffery;Sebastian Zur,2509.07876,Sebastian Zur,30 January,13:30,20,
QIP,2026,regular,Dequantization and Hardness of Spectral Sum Estimation,Roman Edenhofer;Atsuya Hasegawa;Francois Le Gall,,Roman Edenhofer,29 January,13:00,20,
QIP,2026,regular,Topological Quantum Spin Glass Order in qLDPC codes,Benedikt Placke;Tibor Rakovszky;Nikolas P. Breuckmann;Vedika Khemani,"2412.09598,2412.13248",Benedikt Placke,29 January,15:30,20,
QIP,2026,regular,Tour de gross: A modular quantum computer based on bivariate bicycle codes,Eddie Schoute;Theodore J. Yoder;Patrick Rall;Emily Pritchett;Jay Gambetta;Andrew W. Cross;Malcolm Carroll;Michael E. Beverland,2506.03094,Eddie Schoute,29 January,16:00,20,
QIP,2026,regular,All pure multipartite entangled states of qubits can be self-tested up to complex conjugation,Ivan Šupić;Maria Balanzo Juando;Andrea Coladangelo;Remigiusz Augusiak;Antonio Acin,2412.13266,Ivan ˇSupi´c,29 January,15:30,20,
QIP,2026,plenary_short,Quantum precomputation: how to parallelize cascade circuits and the Moore–Nilsson conjecture is false,Adam Bene Watts;Charles R. Chen;J. William Helton;Joseph Slote,,is false,27 January,10:00,30,
QIP,2026,regular,An Area Law for Metastable States,Thiago Bergamaschi;Chi-Fang (Anthony) Chen;Umesh Vazirani,,Thiago Bergamaschi,30 January,15:00,20,
QIP,2026,regular,An Algorithmic Polynomial Freiman-Ruzsa Theorem via Stabilizer Learning,Srinivasan Arunachalam;Jop Briet;Davi Castro-Silva;Arkopal Dutt;Tom Gur,"2505.13134,2509.02338",Davi Castro-Silva,26 January,16:00,20,
QIP,2026,regular,Quantum Spin Chains Thermalize at All Temperatures,Thiago Bergamaschi;Chi-Fang (Anthony) Chen,,Chi-Fang (Anthony) Chen,26 January,17:00,20,
QIP,2026,plenary_long,Multi-qubit Toffoli with exponentially fewer T gates,David Gosset;Robin Kothari;Chenyi Zhang,,Robin Kothari,28 January,09:00,60,
QIP,2026,regular,Learning quantum Gibbs states locally and efficiently,Chi-Fang (Anthony) Chen;Anurag Anshu;Quynh Nguyen,2504.02706,Chi-Fang (Anthony) Chen,26 January,16:30,20,
QIP,2026,regular,Local transformations of bipartite entanglement are rigid,Can Bostanci;Tony Metger;Henry Yuen,2509.05257,John Bostanci,30 January,13:00,20,
QIP,2026,regular,Lieb-Robinson bounds with exponential-in-volume tails,Ben McDonough;Chao Yin;Andrew Lucas;Carolyn Zhang,2502.02652,Ben McDonough,30 January,15:30,20,
QIP,2026,regular,Better completeness for QMA,Scott Aaronson;Stacey Jeffery;Freek Witteveen,2506.15551,Freek Witteveen,26 January,17:00,20,
QIP,2026,regular,Is it Gaussian? Testing bosonic quantum states,Filippo Girardi;Freek Witteveen;Francesco Anna Mele;Lennart Bittel;Salvatore Francesco Emanuele Oliviero;David Gross;Michael Walter,,Filippo Girardi,30 January,11:30,20,
QIP,2026,regular,Umlaut information,Filippo Girardi;Aadil Oufkir;Bartosz Regula;Marco Tomamichel;Mario Berta;Ludovico Lami,"2503.18910,2503.21479",Filippo Girardi,30 January,15:30,20,
QIP,2026,plenary_short,Constant-Overhead Addressable Gates via Single-Shot Code Switching,Louis Golowich;Kathleen (Katie) Chang;Guanyu Zhu,,Louis Golowich,29 January,10:00,30,
QIP,2026,regular,Quantum generalizations of Glauber and Metropolis dynamics,Chi-Fang Chen;Csaba Czabán;Joao F. Doriguello;András Gilyén;Balázs Kabella;Michael J. Kastoryano;József Mák;Zoltán Zimborás,2405.20322,Joao F. Doriguello,26 January,17:00,20,
QIP,2026,regular,Pauli tomography at your fingertips,Jayadev Acharya;Abhilash Dharmavarapu;Yuhan Liu;Nengkun Yu,"2502.18170,2507.22001",Abhilash Dharmavarapu,30 January,13:00,20,
QIP,2026,regular,Average-case quantum complexity from glassiness,Alexander Zlokapa;Bobak T. Kiani;Eric R. Anschuetz,,Alexander Zlokapa,30 January,11:30,20,
QIP,2026,regular,Less is More: On Copy Complexity in Quantum Cryptography,Prabhanjan Ananth;Eli Goldin,,Eli Goldin,28 January,13:30,20,
QIP,2026,regular,Quantum simulation of a noisy classical nonlinear dynamics,Sergey Bravyi;Sergiy Zhuk;Mykhaylo Zayats;Robert Manson-Sawko,,Sergiy Zhuk,26 January,13:30,20,
QIP,2026,regular,Classical Simulations of Low Magic Quantum Dynamics,Kemal Aziz;Haining Pan;Michael Gullans;Jedediah Pixley,2508.20252,Kemal Aziz,29 January,13:30,20,
QIP,2026,regular,Fast Simulation of Fermions with Reconfigurable Qubits,Nishad Maskara;Marcin Kalinowski;Daniel Gonzalez-Cuadra;Mikhail Lukin,2509.08898,Nishad Maskara,30 January,15:00,20,
QIP,2026,regular,Quantum matrix arithmetics with Hamiltonian evolution,Christopher Kang;Yuan Su,,Christopher Kang,27 January,15:30,20,
QIP,2026,regular,The Complexity of Thermalization in Finite Quantum Systems,Dhruv Devulapalli;Timothy Connor Mooney;James Watson,2507.00405,Dhruv Devulapalli,30 January,13:30,20,
QIP,2026,regular,A log-depth in-place quantum Fourier transform that rarely needs ancillas,Gregory D. Kahanamoku-Meyer;John Blue;Thiago Bergamaschi;Craig Gidney;Isaac Chuang,2505.00701,Gregory D. Kahanamoku-Meyer,28 January,13:30,20,
QIP,2026,regular,A New Quantum Linear System Algorithm Beyond the Condition Number and Its Application to Solving Multivariate Polynomial Systems,Jianqiang Li,,Jianqiang Li,30 January,16:30,20,
QIP,2026,regular,Quantum algorithms for Uhlmann transformation,Takeru Utsumi;Yoshifumi Nakata;Qisheng Wang;Ryuji Takagi,2509.03619,Takeru Utsumi,29 January,15:30,20,
QIP,2026,regular,"Quantum error correction beyond SU(2): spin, permutation-invariant, and bosonic codes from convex geometry",Arda Aydin;Victor Albert;Alexander Barg,,Arda Aydin,30 January,09:30,20,
QIP,2026,regular,Efficient Quantum Hermite Transform,Siddhartha Jain;Vishnu Iyer;Rolando Somma;Ning Bao;Stephen Jordan,,Vishnu Iyer,29 January,16:00,20,
QIP,2026,regular,Optimal lower bounds for quantum state tomography,Thilo Scharnhorst;Jack Spilecki;John Wright,,Thilo Scharnhorst,29 January,13:30,20,Merged slot
QIP,2026,regular,Fast-forwardable Lindbladians imply quantum phase estimation,Zhong-Xia Shang;Naixu Guo;Patrick Rebentrost;Al´an Aspuru-Guzik;Tongyang Li;Qi Zhao,,Zhong-Xia Shang,30 January,15:30,20,
QIP,2026,plenary_short,Compressed Permutation Oracles,Joseph Carolan,,Joseph Carolan,27 January,11:00,30,
QIP,2026,regular,Polynomial-time tolerant testing stabilizer states,Srinivasan Arunachalam;Arkopal Dutt,2408.06289,Arkopal Dutt,30 January,11:00,20,
QIP,2026,regular,Approximate Quantum Error Correction with 1D Log-Depth Circuits,Guoding Liu;Zhenyu Du;Zi-Wen Liu;Xiongfeng Ma,2503.17759,Guoding Liu,30 January,10:00,20,
QIP,2026,regular,Layer codes as partially self-correcting quantum memories,Shouzhen Gu;Libor Caha;Shin Ho Choe;Zhiyang He;Aleksander Kubica;Eugene Tang,,Libor Caha,27 January,15:30,20,
QIP,2026,regular,Inverse Nonlinear Fast Fourier Transform: Closing A Chapter in Quantum Signal Processing,Hongkang Ni;Rahul Sarkar;Lexing Ying;Lin Lin,2505.12615,Hongkang Ni,28 January,13:00,20,
QIP,2026,regular,Batched high-rate logical operations for quantum LDPC codes,Qian Xu;Hengyun Zhou;Dolev Bluvstein;Madelyn Cain;Marcin Kalinowski;John Preskill;Mikhail D. Lukin;Nishad Maskara,,Nishad Maskara,29 January,16:30,20,
QIP,2026,regular,A Dobrushin condition for quantum Markov chains: Rapid mixing and conditional mutual information at high temperature,Ainesh Bakshi;Allen Liu;Ankur Moitra;Ewin Tang,,Ewin Tang,30 January,14:00,20,
QIP,2026,regular,Free mutual information and ergodicity in operator space,Shreya Vardhan;Jinzhao Wang,,Shreya Vardhan,30 January,16:00,20,
QIP,2026,regular,An infinite hierarchy of multi-copy quantum learning tasks,Jan Nöller;Viet Tran;Mariami Gachechildaze;Richard Kueng,,Jan N¨oller,29 January,14:00,20,Merged slot
